Probe,Start,End
1, 1976/04/22 00:00:00, 1976/04/22 00:26:00
1, 1976/04/22 00:39:00, 1976/04/22 01:27:00
1, 1976/04/22 01:39:00, 1976/04/22 07:48:00
1, 1976/04/22 07:53:00, 1976/04/22 09:12:00
1, 1976/04/22 09:23:00, 1976/04/22 10:13:00
1, 1976/04/22 10:23:00, 1976/04/22 11:13:30
1, 1976/04/22 11:25:00, 1976/04/23 00:32:45
1, 1976/04/23 00:43:00, 1976/04/23 01:32:45
1, 1976/04/23 01:45:00, 1976/04/23 02:17:00
1, 1976/04/23 02:28:00, 1976/04/23 06:58:00
1, 1976/04/23 08:25:00, 1976/04/23 09:42:00
1, 1976/04/23 09:53:00, 1976/04/23 10:43:00
1, 1976/04/23 10:53:00, 1976/04/23 12:43:00
1, 1976/04/23 12:53:00, 1976/04/23 13:14:00
1, 1976/04/24 00:04:00, 1976/04/24 01:12:40
1, 1976/04/24 01:23:00, 1976/04/24 06:41:00
1, 1976/04/24 07:52:00, 1976/04/24 09:02:30
1, 1976/04/24 09:24:00, 1976/04/24 10:15:00
1, 1976/04/24 10:25:00, 1976/04/24 11:13:00
1, 1976/04/24 11:23:00, 1976/04/24 12:13:00
1, 1976/04/24 12:23:00, 1976/04/24 13:13:00
1, 1976/04/24 13:23:00, 1976/04/24 14:12:20
1, 1976/04/24 14:23:00, 1976/04/24 15:38:00
